GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SLC1A1,6505,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.49,,21296072
SLC1A2,6506,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.36,,21296072
SLC1A3,6507,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.52,,21296072
SLC1A4,6509,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.49,,21296072
SLC1A5,6510,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.46,,21296072
SLC20A1,6574,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.45,,21296072
SLC22A1,6580,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.36,,21296072
SLC22A17,51310,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
SLC22A3,6581,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.45,,21296072
SLC22A4,6583,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.62,,21296072
SLC23A1,9963,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.81,,21296072
SLC23A2,9962,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.71,,21296072
SLC24A4,123041,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.12,,21296072
SLC25A11,8402,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.86,,21296072
SLC25A12,8604,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
SLC25A13,10165,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.7,,21296072
SLC25A15,10166,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.81,,21296072
SLC25A19,60386,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
SLC25A21,89874,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.06,,21296072
SLC25A22,79751,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.79,,21296072
SLC25A23,79085,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.75,,21296072
SLC25A24,29957,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.82,,21296072
SLC25A33,84275,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.77,,21296072
SLC25A36,55186,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
SLC25A37,51312,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.66,,21296072
SLC25A39,51629,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.98,,21296072
SLC25A40,55972,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.22,,21296072
SLC25A43,203427,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.12,,21296072
SLC25A6,293,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.02,,21296072
SLC26A2,1836,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.75,,21296072
SLC27A2,11001,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.46,,21296072
SLC27A2A,449925,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.89,,21296072
SLC27A4,10999,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.77,,21296072
SLC28A2,9153,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.81,,21296072
SLC29A1,2030,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.48,,21296072
SLC2A1,6513,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.05,,21296072
SLC2A14,144195,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.01,,21296072
SLC2A2,6514,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.33,,21296072
SLC2A3,6515,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.33,,21296072
SLC2A4,6517,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.18,,21296072
SLC2A4RG,56731,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.2,,21296072
SLC30A1,7779,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.48,,21296072
SLC30A2,7780,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.92,,21296072
SLC31A1,1317,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.55,,21296072
SLC31A2,1318,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
SLC33A1,9197,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
SLC35A3,23443,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.93,,21296072
SLC35C2,51006,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
SLC35F2,54733,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.81,,21296072
SLC35F6,54978,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.01,,21296072
SLC37A4,2542,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.65,,21296072
SLC38A1,81539,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.65,,21296072
SLC38A4,55089,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.63,,21296072
SLC39A1,27173,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.87,,21296072
SLC39A10,57181,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.62,,21296072
SLC39A13,91252,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.06,,21296072
SLC39A14,23516,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.56,,21296072
SLC39A4,55630,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.74,,21296072
SLC3A2,6520,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.24,,21296072
SLC3A2B,399488,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.93,,21296072
SLC40A1,30061,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.38,,21296072
SLC44A1,23446,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.73,,21296072
SLC47A1,55244,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.5,,21296072
SLC48A1,55652,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.84,,21296072
SLC4A3,6508,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.06,,21296072
SLC4A7,9497,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.65,,21296072
SLC50A1,55974,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.92,,21296072
SLC51A,200931,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.65,,21296072
SLC52A2,79581,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.91,,21296072
SLC5A5,6528,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.51,,21296072
SLC5A6,8884,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.77,,21296072
SLC6A11,6538,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.91,,21296072
