GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
AGLA,567798,Altitude Sickness,MESH:D000532,,Dexamethasone,5.21,,10915127
AGMAT,79814,Altitude Sickness,MESH:D000532,,Dexamethasone,3.63,,10915127
AGO2,27161,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
AGO3,192669,Altitude Sickness,MESH:D000532,,Dexamethasone,3.7,,10915127
AGO4,192670,Altitude Sickness,MESH:D000532,,Dexamethasone,3.52,,10915127
AGPAT1,10554,Altitude Sickness,MESH:D000532,,Dexamethasone,3.66,,10915127
AGPAT2,10555,Altitude Sickness,MESH:D000532,,Dexamethasone,3.39,,10915127
AGPAT3,56894,Altitude Sickness,MESH:D000532,,Dexamethasone,3.42,,10915127
AGPAT4,56895,Altitude Sickness,MESH:D000532,,Dexamethasone,3.53,,10915127
AGPAT4-IT1,79992,Altitude Sickness,MESH:D000532,,Dexamethasone,4.4,,10915127
AGPAT5,55326,Altitude Sickness,MESH:D000532,,Dexamethasone,3.56,,10915127
AGPAT9,102843911,Altitude Sickness,MESH:D000532,,Dexamethasone,3.93,,10915127
AGPS,8540,Altitude Sickness,MESH:D000532,,Dexamethasone,3.55,,10915127
AGR1,335309,Altitude Sickness,MESH:D000532,,Dexamethasone,4.61,,10915127
AGR2,10551,Altitude Sickness,MESH:D000532,,Dexamethasone,3.42,,10915127
AGRN,375790,Altitude Sickness,MESH:D000532,,Dexamethasone,3.27,,10915127
AGT,183,Altitude Sickness,MESH:D000532,,Dexamethasone,6.98,,10915127
AGT,183,Altitude Sickness,MESH:D000532,,Nitroglycerin,6.98,,18800963
AGTR1,185,Altitude Sickness,MESH:D000532,,Dexamethasone,3.26,,10915127
AGTR1A,11607,Altitude Sickness,MESH:D000532,,Dexamethasone,3.19,,10915127
AGTR2,186,Altitude Sickness,MESH:D000532,,Dexamethasone,3.32,,10915127
AGXT,189,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
AGXT2,64902,Altitude Sickness,MESH:D000532,,Dexamethasone,3.59,,10915127
AGXTB,79378,Altitude Sickness,MESH:D000532,,Dexamethasone,4.17,,10915127
AHCY,191,Altitude Sickness,MESH:D000532,,Dexamethasone,3.18,,10915127
AHCYL1,10768,Altitude Sickness,MESH:D000532,,Dexamethasone,3.5,,10915127
AHDC1,27245,Altitude Sickness,MESH:D000532,,Dexamethasone,3.63,,10915127
AHNAK,79026,Altitude Sickness,MESH:D000532,,Dexamethasone,3.16,,10915127
AHNAK2,113146,Altitude Sickness,MESH:D000532,,Dexamethasone,3.41,,10915127
AHR,196,Altitude Sickness,MESH:D000532,,Dexamethasone,2.33,,10915127
AHR2,30517,Altitude Sickness,MESH:D000532,,Dexamethasone,3.57,,10915127
AHSA1,10598,Altitude Sickness,MESH:D000532,,Dexamethasone,3.46,,10915127
AHSA2,268390,Altitude Sickness,MESH:D000532,,Dexamethasone,3.93,,10915127
AHSG,197,Altitude Sickness,MESH:D000532,,Dexamethasone,3.31,,10915127
AIDA,64853,Altitude Sickness,MESH:D000532,,Dexamethasone,3.69,,10915127
AIF1L,83543,Altitude Sickness,MESH:D000532,,Dexamethasone,3.51,,10915127
AIFM1,9131,Altitude Sickness,MESH:D000532,,Dexamethasone,2.85,,10915127
AIFM2,84883,Altitude Sickness,MESH:D000532,,Dexamethasone,3.33,,10915127
AIG1,51390,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
AIP,9049,Altitude Sickness,MESH:D000532,,Dexamethasone,3.7,,10915127
AK1,203,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
AK2,204,Altitude Sickness,MESH:D000532,,Dexamethasone,3.37,,10915127
AK3,50808,Altitude Sickness,MESH:D000532,,Dexamethasone,3.31,,10915127
AK4,205,Altitude Sickness,MESH:D000532,,Dexamethasone,3.18,,10915127
AK5,26289,Altitude Sickness,MESH:D000532,,Dexamethasone,3.59,,10915127
AK7A,402854,Altitude Sickness,MESH:D000532,,Dexamethasone,4.95,,10915127
AKAP10,11216,Altitude Sickness,MESH:D000532,,Dexamethasone,3.67,,10915127
AKAP11,11215,Altitude Sickness,MESH:D000532,,Dexamethasone,3.64,,10915127
AKAP12,9590,Altitude Sickness,MESH:D000532,,Dexamethasone,3.14,,10915127
AKAP17B,338351,Altitude Sickness,MESH:D000532,,Acetazolamide,5.67,,1978045|2712085|6349608
AKAP1B,556208,Altitude Sickness,MESH:D000532,,Dexamethasone,4.66,,10915127
AKAP7,9465,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
AKAP9,10142,Altitude Sickness,MESH:D000532,,Acetazolamide,5.03,,1978045|2712085|6349608
AKIRIN1,79647,Altitude Sickness,MESH:D000532,,Dexamethasone,3.57,,10915127
AKR1A1,10327,Altitude Sickness,MESH:D000532,,Dexamethasone,3.18,,10915127
AKR1B1,231,Altitude Sickness,MESH:D000532,,Dexamethasone,2.93,,10915127
AKR1B7,11997,Altitude Sickness,MESH:D000532,,Dexamethasone,3.44,,10915127
AKR1C1,1645,Altitude Sickness,MESH:D000532,,Dexamethasone,2.9,,10915127
AKR1C3,8644,Altitude Sickness,MESH:D000532,,Dexamethasone,2.87,,10915127
AKR1CL,70861,Altitude Sickness,MESH:D000532,,Dexamethasone,3.97,,10915127
AKT1,207,Altitude Sickness,MESH:D000532,,Dexamethasone,2.13,,10915127
AKT2,208,Altitude Sickness,MESH:D000532,,Dexamethasone,3.05,,10915127
AKT3,10000,Altitude Sickness,MESH:D000532,,Dexamethasone,3.27,,10915127
ALAS1,211,Altitude Sickness,MESH:D000532,,Dexamethasone,3.04,,10915127
ALAS2,212,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
ALB,213,Altitude Sickness,MESH:D000532,,Dexamethasone,2.37,,10915127
ALCAM,214,Altitude Sickness,MESH:D000532,,Dexamethasone,3.19,,10915127
ALDH16A1,126133,Altitude Sickness,MESH:D000532,,Dexamethasone,3.61,,10915127
ALDH18A1,5832,Altitude Sickness,MESH:D000532,,Dexamethasone,3.29,,10915127
ALDH1A1,216,Altitude Sickness,MESH:D000532,,Dexamethasone,7.67,,10915127
ALDH1A1,216,Altitude Sickness,MESH:D000532,,Nitroglycerin,7.67,,18800963
ALDH1A2,8854,Altitude Sickness,MESH:D000532,,Dexamethasone,3.15,,10915127
ALDH1A3,220,Altitude Sickness,MESH:D000532,,Dexamethasone,3.12,,10915127
ALDH1A7,26358,Altitude Sickness,MESH:D000532,,Dexamethasone,3.3,,10915127
ALDH1B1,219,Altitude Sickness,MESH:D000532,,Dexamethasone,3.21,,10915127
ALDH1L1,10840,Altitude Sickness,MESH:D000532,,Dexamethasone,3.3,,10915127
ALDH1L2,160428,Altitude Sickness,MESH:D000532,,Dexamethasone,3.27,,10915127
ALDH2,217,Altitude Sickness,MESH:D000532,,Dexamethasone,8.26,,10915127
ALDH2,217,Altitude Sickness,MESH:D000532,,Nitroglycerin,8.26,,18800963
ALDH3A1,218,Altitude Sickness,MESH:D000532,,Dexamethasone,3.1,,10915127
ALDH3A2A,323653,Altitude Sickness,MESH:D000532,,Dexamethasone,5.21,,10915127
ALDH4A1,8659,Altitude Sickness,MESH:D000532,,Dexamethasone,3.34,,10915127
ALDH8A1,64577,Altitude Sickness,MESH:D000532,,Dexamethasone,3.43,,10915127
