Disease Name,Gene Symbol,Gene ID
Deep Vein Thrombosis ,MAP4K1,11184
Deep Vein Thrombosis ,MAPK1,5594
Deep Vein Thrombosis ,MAPK3,5595
Deep Vein Thrombosis ,MAPK9,5601
Deep Vein Thrombosis ,MASP1,5648
Deep Vein Thrombosis ,MASP2,10747
Deep Vein Thrombosis ,MB,4151
Deep Vein Thrombosis ,MCF2,4168
Deep Vein Thrombosis ,MDM2,4193
Deep Vein Thrombosis ,MEN1,4221
Deep Vein Thrombosis ,MET,4233
Deep Vein Thrombosis ,MICE,4280
Deep Vein Thrombosis ,MIF,4282
Deep Vein Thrombosis ,MITF,4286
Deep Vein Thrombosis ,MME,4311
Deep Vein Thrombosis ,MMP1,4312
Deep Vein Thrombosis ,MMP10,4319
Deep Vein Thrombosis ,MMP11,4320
Deep Vein Thrombosis ,MMP12,4321
Deep Vein Thrombosis ,MMP13,4322
Deep Vein Thrombosis ,MMP14,4323
Deep Vein Thrombosis ,MMP19,4327
Deep Vein Thrombosis ,MMP2,4313
Deep Vein Thrombosis ,MMP24,10893
Deep Vein Thrombosis ,MMP3,4314
Deep Vein Thrombosis ,MMP7,4316
Deep Vein Thrombosis ,MMP9,4318
Deep Vein Thrombosis ,MPL,4352
Deep Vein Thrombosis ,MRPL11,65003
Deep Vein Thrombosis ,MRPL13,28998
Deep Vein Thrombosis ,MRPL3,11222
Deep Vein Thrombosis ,MSH2,4436
Deep Vein Thrombosis ,MTHFR,4524
Deep Vein Thrombosis ,MTOR,2475
Deep Vein Thrombosis ,MTR,4548
Deep Vein Thrombosis ,MTRR,4552
Deep Vein Thrombosis ,MVP,9961
Deep Vein Thrombosis ,MYB,4602
Deep Vein Thrombosis ,MYC,4609
Deep Vein Thrombosis ,MYH7B,57644
Deep Vein Thrombosis ,MYH9,4627
Deep Vein Thrombosis ,NFKBIL1,4795
Deep Vein Thrombosis ,NORAD,647979
Deep Vein Thrombosis ,NOS1,4842
Deep Vein Thrombosis ,NOS2,4843
Deep Vein Thrombosis ,NOS3,4846
Deep Vein Thrombosis ,NOTCH1,4851
Deep Vein Thrombosis ,NPR2,4882
Deep Vein Thrombosis ,NRG1,3084
Deep Vein Thrombosis ,OSM,5008
Deep Vein Thrombosis ,P2RY12,64805
Deep Vein Thrombosis ,P4HB,5034
Deep Vein Thrombosis ,PC,5091
Deep Vein Thrombosis ,PCDHA1,56147
Deep Vein Thrombosis ,PCDHA7,56141
Deep Vein Thrombosis ,PCYOX1L,78991
Deep Vein Thrombosis ,PDPN,10630
Deep Vein Thrombosis ,PEAR1,375033
Deep Vein Thrombosis ,PGR,5241
Deep Vein Thrombosis ,PIK3CA,5290
Deep Vein Thrombosis ,PKD1,5310
Deep Vein Thrombosis ,PLAT,5327
Deep Vein Thrombosis ,PLAU,5328
Deep Vein Thrombosis ,PLG,5340
Deep Vein Thrombosis ,PLXNA4,91584
Deep Vein Thrombosis ,PML,5371
Deep Vein Thrombosis ,PON1,5444
Deep Vein Thrombosis ,PORCN,64840
Deep Vein Thrombosis ,PRKAR2B,5577
Deep Vein Thrombosis ,PRKCD,5580
Deep Vein Thrombosis ,PROC,5624
Deep Vein Thrombosis ,PROCR,10544
Deep Vein Thrombosis ,PROS1,5627
Deep Vein Thrombosis ,PROX1,5629
Deep Vein Thrombosis ,PSD,5662
Deep Vein Thrombosis ,PTEN,5728
Deep Vein Thrombosis ,PTGIR,5739
Deep Vein Thrombosis ,PTS,5805
Deep Vein Thrombosis ,RAC1,5879
Deep Vein Thrombosis ,RAN,5901
Deep Vein Thrombosis ,RET,5979
Deep Vein Thrombosis ,RGS7,6000
Deep Vein Thrombosis ,RHO,6010
Deep Vein Thrombosis ,ROS1,6098
Deep Vein Thrombosis ,RPL9,6133
Deep Vein Thrombosis ,RPS29,6235
Deep Vein Thrombosis ,S100A9,6280
Deep Vein Thrombosis ,SAG,6295
Deep Vein Thrombosis ,SCD,6319
Deep Vein Thrombosis ,SCG2,7857
Deep Vein Thrombosis ,SELE,6401
Deep Vein Thrombosis ,SELP,6403
Deep Vein Thrombosis ,SELPLG,6404
Deep Vein Thrombosis ,SERPINA10,51156
Deep Vein Thrombosis ,SERPINC1,462
Deep Vein Thrombosis ,SERPIND1,3053
